run_index,penalty_r,algorithm,start_x,start_y,start_z,step,x,y,z,penalty_value,feasible
0,1,Penalty Nelder-Mead,0,0,0,0,0,0,0,1,0
1,0.1,Penalty Nelder-Mead,0,0,0,0,0,0,0,10,0
2,0.01,Penalty Nelder-Mead,0,0,0,0,0,0,0,100,0
3,0.001,Penalty Nelder-Mead,0,0,0,0,0,0,0,1000,0
4,0.0001,Penalty Nelder-Mead,0,0,0,0,0,0,0,10000,0
5,1,Penalty Nelder-Mead,1,1,1,0,1,1,1,24,0
5,1,Penalty Nelder-Mead,1,1,1,1,1,1,1,24,0
5,1,Penalty Nelder-Mead,1,1,1,2,1,1,1,24,0
5,1,Penalty Nelder-Mead,1,1,1,3,0.933333,0.95,1.08333,22.5997,0
5,1,Penalty Nelder-Mead,1,1,1,4,0.966667,0.9,1.01667,19.6868,0
5,1,Penalty Nelder-Mead,1,1,1,5,0.833333,0.95,1.03333,17.4054,0
5,1,Penalty Nelder-Mead,1,1,1,6,0.733333,0.8,1.13333,12.6495,0
5,1,Penalty Nelder-Mead,1,1,1,7,0.666667,0.75,1.01667,7.78927,0
5,1,Penalty Nelder-Mead,1,1,1,8,0.3,0.7,1.15,2.7169,0
5,1,Penalty Nelder-Mead,1,1,1,9,0.0333333,0.35,1.23333,-0.013421,0
5,1,Penalty Nelder-Mead,1,1,1,10,0.0333333,0.35,1.23333,-0.013421,0
5,1,Penalty Nelder-Mead,1,1,1,11,0.0333333,0.35,1.23333,-0.013421,0
5,1,Penalty Nelder-Mead,1,1,1,12,0.0333333,0.35,1.23333,-0.013421,0
5,1,Penalty Nelder-Mead,1,1,1,13,0.0333333,0.35,1.23333,-0.013421,0
5,1,Penalty Nelder-Mead,1,1,1,14,0.0333333,0.35,1.23333,-0.013421,0
5,1,Penalty Nelder-Mead,1,1,1,15,0.0333333,0.35,1.23333,-0.013421,0
5,1,Penalty Nelder-Mead,1,1,1,16,0.132945,0.312894,1.23401,-0.0176475,0
5,1,Penalty Nelder-Mead,1,1,1,17,0.132945,0.312894,1.23401,-0.0176475,0
5,1,Penalty Nelder-Mead,1,1,1,18,0.0726048,0.371374,1.18643,-0.0204501,0
5,1,Penalty Nelder-Mead,1,1,1,19,0.057154,0.339005,1.20142,-0.0231908,0
5,1,Penalty Nelder-Mead,1,1,1,20,0.0604506,0.345546,1.22031,-0.0244238,0
5,1,Penalty Nelder-Mead,1,1,1,21,0.0981739,0.332435,1.21836,-0.0266417,0
5,1,Penalty Nelder-Mead,1,1,1,22,0.0712474,0.306616,1.2403,-0.0267348,0
5,1,Penalty Nelder-Mead,1,1,1,23,0.096094,0.317392,1.25123,-0.0289974,0
5,1,Penalty Nelder-Mead,1,1,1,24,0.144614,0.265352,1.26927,-0.0349085,0
5,1,Penalty Nelder-Mead,1,1,1,25,0.109797,0.260472,1.28884,-0.0367241,0
5,1,Penalty Nelder-Mead,1,1,1,26,0.109797,0.260472,1.28884,-0.0367241,0
5,1,Penalty Nelder-Mead,1,1,1,27,0.136207,0.229052,1.29087,-0.0402442,0
5,1,Penalty Nelder-Mead,1,1,1,28,0.166371,0.209407,1.31095,-0.0426551,0
5,1,Penalty Nelder-Mead,1,1,1,29,0.166371,0.209407,1.31095,-0.0426551,0
5,1,Penalty Nelder-Mead,1,1,1,30,0.166371,0.209407,1.31095,-0.0426551,0
5,1,Penalty Nelder-Mead,1,1,1,31,0.166371,0.209407,1.31095,-0.0426551,0
5,1,Penalty Nelder-Mead,1,1,1,32,0.166371,0.209407,1.31095,-0.0426551,0
5,1,Penalty Nelder-Mead,1,1,1,33,0.177309,0.190711,1.31154,-0.043262,0
5,1,Penalty Nelder-Mead,1,1,1,34,0.177309,0.190711,1.31154,-0.043262,0
5,1,Penalty Nelder-Mead,1,1,1,35,0.177309,0.190711,1.31154,-0.043262,0
5,1,Penalty Nelder-Mead,1,1,1,36,0.179847,0.189,1.30286,-0.0434392,0
5,1,Penalty Nelder-Mead,1,1,1,37,0.190285,0.181116,1.30775,-0.0434435,0
5,1,Penalty Nelder-Mead,1,1,1,38,0.190285,0.181116,1.30775,-0.0434435,0
5,1,Penalty Nelder-Mead,1,1,1,39,0.195014,0.182629,1.29342,-0.0437487,0
5,1,Penalty Nelder-Mead,1,1,1,40,0.195014,0.182629,1.29342,-0.0437487,0
5,1,Penalty Nelder-Mead,1,1,1,41,0.195014,0.182629,1.29342,-0.0437487,0
5,1,Penalty Nelder-Mead,1,1,1,42,0.198726,0.179178,1.2758,-0.0441693,0
5,1,Penalty Nelder-Mead,1,1,1,43,0.198726,0.179178,1.2758,-0.0441693,0
5,1,Penalty Nelder-Mead,1,1,1,44,0.209613,0.182823,1.25045,-0.0445457,0
5,1,Penalty Nelder-Mead,1,1,1,45,0.208218,0.186197,1.22282,-0.0456327,0
5,1,Penalty Nelder-Mead,1,1,1,46,0.208218,0.186197,1.22282,-0.0456327,0
5,1,Penalty Nelder-Mead,1,1,1,47,0.241508,0.186677,1.13764,-0.0471408,0
5,1,Penalty Nelder-Mead,1,1,1,48,0.251631,0.183239,1.07553,-0.0488267,0
5,1,Penalty Nelder-Mead,1,1,1,49,0.259096,0.204088,1.00405,-0.0518054,0
5,1,Penalty Nelder-Mead,1,1,1,50,0.293272,0.196472,0.921997,-0.0527895,0
5,1,Penalty Nelder-Mead,1,1,1,51,0.293272,0.196472,0.921997,-0.0527895,0
5,1,Penalty Nelder-Mead,1,1,1,52,0.312942,0.218817,0.78411,-0.052845,0
5,1,Penalty Nelder-Mead,1,1,1,53,0.282382,0.210396,0.943359,-0.0536891,0
5,1,Penalty Nelder-Mead,1,1,1,54,0.282382,0.210396,0.943359,-0.0536891,0
5,1,Penalty Nelder-Mead,1,1,1,55,0.325812,0.231693,0.73782,-0.0550026,0
5,1,Penalty Nelder-Mead,1,1,1,56,0.314722,0.217932,0.844847,-0.0565626,0
5,1,Penalty Nelder-Mead,1,1,1,57,0.314722,0.217932,0.844847,-0.0565626,0
5,1,Penalty Nelder-Mead,1,1,1,58,0.332624,0.240673,0.726259,-0.0580884,0
5,1,Penalty Nelder-Mead,1,1,1,59,0.332624,0.240673,0.726259,-0.0580884,0
5,1,Penalty Nelder-Mead,1,1,1,60,0.332624,0.240673,0.726259,-0.0580884,0
5,1,Penalty Nelder-Mead,1,1,1,61,0.332624,0.240673,0.726259,-0.0580884,0
5,1,Penalty Nelder-Mead,1,1,1,62,0.316517,0.256928,0.746139,-0.0603396,0
5,1,Penalty Nelder-Mead,1,1,1,63,0.316517,0.256928,0.746139,-0.0603396,0
5,1,Penalty Nelder-Mead,1,1,1,64,0.316517,0.256928,0.746139,-0.0603396,0
5,1,Penalty Nelder-Mead,1,1,1,65,0.316517,0.256928,0.746139,-0.0603396,0
5,1,Penalty Nelder-Mead,1,1,1,66,0.316517,0.256928,0.746139,-0.0603396,0
